GoidDecimal;GoidLittleEndian;GoidBigEndian;ClothesType;ShortName;ItemName;ModelId;ColorId
48168;0x28bc0000;0x0000bc28;FEMALE HAT;ExecFHeader;Executable Header;48;0
48166;0x26bc0000;0x0000bc26;FEMALE HAT;ExecFMask;Executable Mask;47;0
48045;0xadbb0000;0x0000bbad;FEMALE HAT;GasFHat;Gas Mask;42;0
48049;0xb1bb0000;0x0000bbb1;FEMALE HAT;GrayBandanaFHat;Gray Bandana;43;0
47128;0x18b80000;0x0000b818;FEMALE HAT;IndustrialFHat;Industrial Fedora;34;0
38151;0x07950000;0x00009507;FEMALE HAT;JokahFHat;Jokah's Hat;4;0
48177;0x31bc0000;0x0000bc31;FEMALE HAT;OmegaFHat;Omega Headgear;49;0
47114;0x0ab80000;0x0000b80a;FEMALE HAT;OverdriveFHat;Overdrive Bandana;12;0
39512;0x589a0000;0x00009a58;FEMALE HAT;SakuraFHat;Sakura Ninja Mask;2;0
48162;0x22bc0000;0x0000bc22;FEMALE HAT;ScrapperFHat;Scrapper Earring;44;0
45934;0x6eb30000;0x0000b36e;FEMALE HAT;SecurityFHat;Security Cap;22;0
47895;0x17bb0000;0x0000bb17;FEMALE HAT;SleepFHat1;Faded Sleepwalker Bandana;38;0
47896;0x18bb0000;0x0000bb18;FEMALE HAT;SleepFHat2;Worn Sleepwalker Bandana;39;0
47897;0x19bb0000;0x0000bb19;FEMALE HAT;SleepFHat3;Threadbare Sleepwalker Bandana;40;0
47374;0x0eb90000;0x0000b90e;FEMALE HAT;SSRFEarpiece40;Captain Dernick's Earpiece;37;0
47375;0x0fb90000;0x0000b90f;FEMALE HAT;SSRFEarpiece50;Captain Raeder's Earpiece;37;0
47362;0x02b90000;0x0000b902;FEMALE HAT;SSRFHat;SSR Helmet;36;0
38293;0x95950000;0x00009595;FEMALE HAT;TaskmasterFHat;Taskmaster Beret;10;0
46565;0xe5b50000;0x0000b5e5;FEMALE HAT;TaskmasterFHat2;Taskmaster Beret Zero;10;0
38135;0xf7940000;0x000094f7;FEMALE HAT;TinCanFHat;Tin Can's Headgear;4;0
39518;0x5e9a0000;0x00009a5e;FEMALE HAT;WidowsMoorFHat;Widow's Moor Cap;8;0
48043;0xabbb0000;0x0000bbab;FEMALE HAT;WireFEarpiece;Wireframe Earpiece;41;0
39502;0x4e9a0000;0x00009a4e;FEMALE HAT;YukiFHat;Yuki Ninja Mask;2;0
47243;0x8bb80000;0x0000b88b;FEMALE PANTS;Archive5ZionFPants;Rave Pants;7;1
47140;0x24b80000;0x0000b824;FEMALE PANTS;EliteCommFPants;Elite Commando Leggings;8;0
47878;0x06bb0000;0x0000bb06;FEMALE PANTS;FanFaire08PantsF;Deep Blue Jeans;7;2
48039;0xa7bb0000;0x0000bba7;FEMALE PANTS;HamptonFPants;Hampton Pants;10;0
42868;0x74a70000;0x0000a774;FEMALE PANTS;IndustrialFPants;Industrial Pants;1;0
38203;0x3b950000;0x0000953b;FEMALE PANTS;JacobFPants;Coward's Pants;2;15
38127;0xef940000;0x000094ef;FEMALE PANTS;PetalFPants;Petal Pants;4;8
47889;0x11bb0000;0x0000bb11;FEMALE PANTS;SleepFPants1;Faded Sleepwalker Jeans;7;3
47890;0x12bb0000;0x0000bb12;FEMALE PANTS;SleepFPants2;Worn Sleepwalker Jeans;7;4
47891;0x13bb0000;0x0000bb13;FEMALE PANTS;SleepFPants3;Threadbare Sleepwalker Jeans;7;5
38149;0x05950000;0x00009505;FEMALE PANTS;YorkieFPants;Action Pants;2;19
40475;0x1b9e0000;0x00009e1b;FEMALE PANTS;AshencourteFPants;Ashencourte Leggings;6;7
39506;0x529a0000;0x00009a52;FEMALE PANTS;AshencourteFPants_Old;Ashencourte Leggings;6;7
45928;0x68b30000;0x0000b368;FEMALE SHIRT;BlueSkyFShirt;Blue Sky T-Shirt;6;33
47946;0x4abb0000;0x0000bb4a;FEMALE SHIRT;ValkFShirt;Svanhild's Plumage;16;32
38096;0xd0940000;0x000094d0;FEMALE SHIRT;BigJimmyZFShirt;Z Gi;2;23
42767;0x0fa70000;0x0000a70f;FEMALE SHIRT;BigJimmyZFShirt2;Z Gi;2;23
42895;0x8fa70000;0x0000a78f;FEMALE SHIRT;BigJimmyZFShirtR1;Z Gi;2;23
40478;0x1e9e0000;0x00009e1e;FEMALE SHIRT;DungeonShinjukoFShirt1;Widow's Dress;13;0
38321;0xb1950000;0x000095b1;FEMALE SHIRT;DungeonShinjukoFShirt1_Old;Widow's Dress;13;0
40479;0x1f9e0000;0x00009e1f;FEMALE SHIRT;DungeonShinjukoFShirt2;Spider Dress;13;0
39231;0x3f990000;0x0000993f;FEMALE SHIRT;DungeonShinjukoFShirt2_Old;Spider Dress;13;0
40480;0x209e0000;0x00009e20;FEMALE SHIRT;DungeonShinjukoFShirt3;The Black Widow's Dress;13;0
38323;0xb3950000;0x000095b3;FEMALE SHIRT;DungeonShinjukoFShirt3_Old;The Black Widow's Dress;13;0
38157;0x0d950000;0x0000950d;FEMALE SHIRT;HasadFShirt;Panacea;21;9
38138;0xfa940000;0x000094fa;FEMALE SHIRT;KennyLeeFShirt;Kenny's Gi;22;9
47765;0x95ba0000;0x0000ba95;FEMALE SHIRT;KunoFGiGranB;Black Kunoichi Grandmaster Gi;26;2
47764;0x94ba0000;0x0000ba94;FEMALE SHIRT;KunoFGiGranG;Gray Kunoichi Grandmaster Gi;26;1
47763;0x93ba0000;0x0000ba93;FEMALE SHIRT;KunoFGiGranW;White Kunoichi Grandmaster Gi;26;0
47771;0x9bba0000;0x0000ba9b;FEMALE SHIRT;KunoFGiInitB;Black Kunoichi Initiate Gi;26;2
47770;0x9aba0000;0x0000ba9a;FEMALE SHIRT;KunoFGiInitG;Gray Kunoichi Initiate Gi;26;1
47769;0x99ba0000;0x0000ba99;FEMALE SHIRT;KunoFGiInitW;White Kunoichi Initiate Gi;26;0
47768;0x98ba0000;0x0000ba98;FEMALE SHIRT;KunoFGiMastB;Black Kunoichi Master Gi;26;2
47767;0x97ba0000;0x0000ba97;FEMALE SHIRT;KunoFGiMastG;Gray Kunoichi Master Gi;26;1
47766;0x96ba0000;0x0000ba96;FEMALE SHIRT;KunoFGiMastW;White Kunoichi Master Gi;26;0
47817;0xc9ba0000;0x0000bac9;FEMALE SHIRT;KunoFGiPink;{c:FF97CB}Pink Kunoichi Gi{/c};26;3
46983;0x87b70000;0x0000b787;FEMALE SHIRT;Anniv07TShirtFBliss;Bliss Anniversary T-Shirt;6;42
46981;0x85b70000;0x0000b785;FEMALE SHIRT;Anniv07TShirtFCausality;Causality Anniversary T-Shirt;6;40
46979;0x83b70000;0x0000b783;FEMALE SHIRT;Anniv07TShirtFChoice;Choice Anniversary T-Shirt;6;38
46982;0x86b70000;0x0000b786;FEMALE SHIRT;Anniv07TShirtFFreedom;Freedom Anniversary T-Shirt;6;41
46978;0x82b70000;0x0000b782;FEMALE SHIRT;Anniv07TShirtFHate;Hate Anniversary T-Shirt;6;37
46980;0x84b70000;0x0000b784;FEMALE SHIRT;Anniv07TShirtFInevitability;Inevitability Anniversary T-Shirt;6;39
46977;0x81b70000;0x0000b781;FEMALE SHIRT;Anniv07TShirtFLove;Love Anniversary T-Shirt;6;36
46975;0x7fb70000;0x0000b77f;FEMALE SHIRT;Anniv07TShirtFPeace;Peace Anniversary T-Shirt;6;34
46996;0x94b70000;0x0000b794;FEMALE SHIRT;Anniv07TShirtFSmith;Smith Anniversary T-Shirt;6;43
46976;0x80b70000;0x0000b780;FEMALE SHIRT;Anniv07TShirtFWar;War Anniversary T-Shirt;6;35
47280;0xb0b80000;0x0000b8b0;FEMALE SHIRT;Anniv08TShirtFDeath;Death Anniversary T-Shirt;6;45
47281;0xb1b80000;0x0000b8b1;FEMALE SHIRT;Anniv08TShirtFDream;Dream Anniversary T-Shirt;6;46
47282;0xb2b80000;0x0000b8b2;FEMALE SHIRT;Anniv08TShirtFExile;Exile Anniversary T-Shirt;6;47
47283;0xb3b80000;0x0000b8b3;FEMALE SHIRT;Anniv08TShirtFLife;Life Anniversary T-Shirt;6;48
47284;0xb4b80000;0x0000b8b4;FEMALE SHIRT;Anniv08TShirtFMachine;Machine Anniversary T-Shirt;6;49
47285;0xb5b80000;0x0000b8b5;FEMALE SHIRT;Anniv08TShirtFMetacortex;Metacortex T-Shirt;6;50
47286;0xb6b80000;0x0000b8b6;FEMALE SHIRT;Anniv08TShirtFNightmare;Nightmare Anniversary T-Shirt;6;51
47287;0xb7b80000;0x0000b8b7;FEMALE SHIRT;Anniv08TShirtFParadise;Paradise Anniversary T-Shirt;6;52
47288;0xb8b80000;0x0000b8b8;FEMALE SHIRT;Anniv08TShirtFPrison;Prison Anniversary T-Shirt;6;53
47289;0xb9b80000;0x0000b8b9;FEMALE SHIRT;Anniv08TShirtFWhite;Plain White T-Shirt;6;54
47290;0xbab80000;0x0000b8ba;FEMALE SHIRT;Anniv08TShirtFWoman;Woman Anniversary T-Shirt;6;55
39504;0x509a0000;0x00009a50;FEMALE SHIRT;AshencourteFShirt;Ashencourte Vestment;10;1
38328;0xb8950000;0x000095b8;FEMALE SHIRT;DungeonCrestonHeightsFShirt1;Helen's Raiment;4;9
38329;0xb9950000;0x000095b9;FEMALE SHIRT;DungeonCrestonHeightsFShirt2;Black Widow Threads;4;9
38330;0xba950000;0x000095ba;FEMALE SHIRT;DungeonCrestonHeightsFShirt3;Emma's Vengeance;4;9
47117;0x0db80000;0x0000b80d;FEMALE SHIRT;FanFaire07TShirtFVerdigris;Verdigris Shirt;6;44
38120;0xe8940000;0x000094e8;FEMALE SHIRT;FatherJonesFShirt;Devotional Shirt;10;11
42911;0x9fa70000;0x0000a79f;FEMALE SHIRT;FatherJonesFShirtR1;Devotional Shirt;10;11
38112;0xe0940000;0x000094e0;FEMALE SHIRT;HuangFShirt;Huang's Shirt;5;29
42866;0x72a70000;0x0000a772;FEMALE SHIRT;IndustrialFShirt;Industrial Shirt;6;24
38108;0xdc940000;0x000094dc;FEMALE SHIRT;KravenFShirt;Ghost Shirt;5;5
42892;0x8ca70000;0x0000a78c;FEMALE SHIRT;KravenFShirtR1;Ghost Shirt;5;5
38098;0xd2940000;0x000094d2;FEMALE SHIRT;MichelFShirt;Demonskin Shirt;8;9
38167;0x17950000;0x00009517;FEMALE SHIRT;OfficerPeckFShirt;Peck's Shirt;8;19
42697;0xc9a60000;0x0000a6c9;FEMALE SHIRT;Pandora3_1FShirt;Sharpshooter Shirt;4;0
42699;0xcba60000;0x0000a6cb;FEMALE SHIRT;Pandora3_2FShirt;Sniper Shirt;4;0
42701;0xcda60000;0x0000a6cd;FEMALE SHIRT;Pandora3_3FShirt;Squad Leader's Shirt;4;0
48158;0x1ebc0000;0x0000bc1e;FEMALE SHIRT;PhoenixFShirt;Phoenix Shirt;4;35
45933;0x6db30000;0x0000b36d;FEMALE SHIRT;SecurityFShirt;Security T-Shirt;6;32
47883;0x0bbb0000;0x0000bb0b;FEMALE SHIRT;SleepFShirt1;Faded Sleepwalker Tee;4;32
47884;0x0cbb0000;0x0000bb0c;FEMALE SHIRT;SleepFShirt2;Worn Sleepwalker Tee;4;33
47885;0x0dbb0000;0x0000bb0d;FEMALE SHIRT;SleepFShirt3;Threadbare Sleepwalker Tee;4;34
38171;0x1b950000;0x0000951b;FEMALE SHIRT;TaggertFShirt;Taggert's Pipeline;6;10
48156;0x1cbc0000;0x0000bc1c;FEMALE SHIRT;WebbedBloodFShirt;Webbed Blood Noble Shirt;28;0
40476;0x1c9e0000;0x00009e1c;FEMALE SHOES;DeadboyFShoes;Caution;4;2
38155;0x0b950000;0x0000950b;FEMALE SHOES;DeadboyFShoes_Old;Caution;4;2
42952;0xc8a70000;0x0000a7c8;FEMALE SHOES;DungeonLuceroFShoes1R1;Project Shoes;7;1
42953;0xc9a70000;0x0000a7c9;FEMALE SHOES;DungeonLuceroFShoes2R1;Section Shoes;7;1
42954;0xcaa70000;0x0000a7ca;FEMALE SHOES;DungeonLuceroFShoes3R1;Ethereal Shoes;7;1
38302;0x9e950000;0x0000959e;FEMALE SHOES;DungeonZiaFShoes1;Surefoot Sneakers;1;0
42922;0xaaa70000;0x0000a7aa;FEMALE SHOES;DungeonZiaFShoes1R1;Surefoot Sneakers;1;0
38303;0x9f950000;0x0000959f;FEMALE SHOES;DungeonZiaFShoes2;Steady Sneakers;1;0
42923;0xaba70000;0x0000a7ab;FEMALE SHOES;DungeonZiaFShoes2R1;Steady Sneakers;1;0
39243;0x4b990000;0x0000994b;FEMALE SHOES;DungeonZiaFShoes3;Solid Sneakers;1;0
42924;0xaca70000;0x0000a7ac;FEMALE SHOES;DungeonZiaFShoes3R1;Solid Sneakers;1;0
47148;0x2cb80000;0x0000b82c;FEMALE SHOES;EliteCommFShoes;Elite Commando Boots;11;0
38102;0xd6940000;0x000094d6;FEMALE SHOES;FastBackFShoes;Industrial Boots;3;0
42773;0x15a70000;0x0000a715;FEMALE SHOES;FastBackFShoes2;Industrial Boots;3;0
48051;0xb3bb0000;0x0000bbb3;FEMALE SHOES;HelBootsFShoes;Caretaker Boots;2;8
40472;0x189e0000;0x00009e18;FEMALE SHOES;HoraceFShoes;Horace's Sneakers;6;0
38088;0xc8940000;0x000094c8;FEMALE SHOES;HoraceFShoes_Old;Horace's Sneakers;6;0
42877;0x7da70000;0x0000a77d;FEMALE SHOES;HoraceFShoesR1;Horace's Sneakers;6;0
47801;0xb9ba0000;0x0000bab9;FEMALE SHOES;KunoFShoesGranB;Black Kunoichi Grandmaster Tabi;11;3
47800;0xb8ba0000;0x0000bab8;FEMALE SHOES;KunoFShoesGranG;Gray Kunoichi Grandmaster Tabi;11;2
47799;0xb7ba0000;0x0000bab7;FEMALE SHOES;KunoFShoesGranW;White Kunoichi Grandmaster Tabi;11;1
47807;0xbfba0000;0x0000babf;FEMALE SHOES;KunoFShoesInitB;Black Kunoichi Initiate Tabi;11;3
47806;0xbeba0000;0x0000babe;FEMALE SHOES;KunoFShoesInitG;Gray Kunoichi Initiate Tabi;11;2
47805;0xbdba0000;0x0000babd;FEMALE SHOES;KunoFShoesInitW;White Kunoichi Initiate Tabi;11;1
47804;0xbcba0000;0x0000babc;FEMALE SHOES;KunoFShoesMastB;Black Kunoichi Master Tabi;11;3
47803;0xbbba0000;0x0000babb;FEMALE SHOES;KunoFShoesMastG;Gray Kunoichi Master Tabi;11;2
47802;0xbaba0000;0x0000baba;FEMALE SHOES;KunoFShoesMastW;White Kunoichi Master Tabi;11;1
